Data e Hora,UTI,Amarela,Intermediario
2023-11-06 16:26:14,39,20,20
2023-11-06 16:26:15,39,19,20
2023-11-06 16:26:16,39,19,19
2023-11-06 16:26:17,38,19,19
2023-11-06 16:26:18,38,18,19
2023-11-06 16:26:19,38,18,18
2023-11-06 16:26:20,37,18,18
2023-11-06 16:26:24,37,18,17
2023-11-06 16:26:25,37,17,17
2023-11-06 16:26:26,37,16,17
