Data e Hora,UTI,Amarela,Intermediario
2023-11-06 16:28:31,39,20,20
2023-11-06 16:28:32,39,19,20
2023-11-06 16:28:33,39,19,19
2023-11-06 16:28:34,39,18,19
2023-11-06 16:28:35,39,17,19
2023-11-06 16:28:36,39,16,19
2023-11-06 16:28:37,39,15,19
2023-11-06 16:28:38,39,15,18
2023-11-06 16:28:38,39,15,17
2023-11-06 16:28:39,39,15,16
