Data e Hora,UTI,Amarela,Intermediario
2023-11-06 15:39:04,39,20,20
2023-11-06 15:39:04,39,19,20
2023-11-06 15:39:05,39,19,19
2023-11-06 15:39:06,38,19,19
2023-11-06 15:39:07,38,18,19
2023-11-06 15:39:08,38,18,18
2023-11-06 15:39:09,37,18,18
